movieId,title,imdbId
1,Toy Story (1995),114709
2,GoldenEye (1995),113497
3,Four Rooms (1995),113228
4,Get Shorty (1995),114885
5,Copycat (1995),113041
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),113277
7,Twelve Monkeys (1995),114319
8,Babe (1995),112302
9,Dead Man Walking (1995),114576
10,Richard III (1995),113189
11,Seven (Se7en) (1995),112346
12,"Usual Suspects, The (1995)",112896
13,Mighty Aphrodite (1995),112453
14,"Postino, Il (1994)",113987
15,Mr. Holland's Opus (1995),112760
16,French Twist (Gazon maudit) (1995),112641
17,From Dusk Till Dawn (1996),114388
18,"White Balloon, The (1995)",113101
19,Antonia's Line (1995),112281
20,Angels and Insects (1995),113845
21,Muppet Treasure Island (1996),113161
22,Braveheart (1995),112722
23,Taxi Driver (1976),112401
24,Rumble in the Bronx (1995),114168
25,"Birdcage, The (1996)",113627
26,"Brothers McMullen, The (1995)",114057
27,Bad Boys (1995),114011
28,Apollo 13 (1995),114117
29,Batman Forever (1995),112682
30,Belle de jour (1967),115012
31,Crimson Tide (1995),112792
32,Crumb (1994),114746
33,Desperado (1995),114952
34,"Doom Generation, The (1995)",112431
35,Free Willy 2: The Adventure Home (1995),112637
36,Mad Love (1995),112818
37,Nadja (1994),112286
38,"Net, The (1995)",113442
39,Strange Days (1995),112697
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",112749
41,Billy Madison (1995),114279
42,Clerks (1994),112819
43,Disclosure (1994),114272
44,Dolores Claiborne (1994),113855
45,Eat Drink Man Woman (1994),114681
46,Exotica (1994),113347
47,Ed Wood (1994),114369
48,Hoop Dreams (1994),114148
49,I.Q. (1994),114916
50,Star Wars (1977),114814
51,Legends of the Fall (1994),109950
52,"Madness of King George, The (1994)",113819
53,Natural Born Killers (1994),110299
54,Outbreak (1995),112499
55,"Professional, The (1994)",113158
56,Pulp Fiction (1994),113541
57,Priest (1994),113321
58,Quiz Show (1994),110877
59,Three Colors: Red (1994),112714
60,Three Colors: Blue (1993),113419
61,Three Colors: White (1994),116260
62,Stargate (1994),113862
63,"Santa Clause, The (1994)",116126
64,"Shawshank Redemption, The (1994)",118002
65,What's Eating Gilbert Grape (1993),115683
66,While You Were Sleeping (1995),116839
67,Ace Ventura: Pet Detective (1994),114753
68,"Crow, The (1994)",113149
69,Forrest Gump (1994),113118
70,Four Weddings and a Funeral (1994),116367
71,"Lion King, The (1994)",113010
72,"Mask, The (1994)",113537
73,Maverick (1994),113828
74,Faster Pussycat! Kill! Kill! (1965),115644
75,Brother Minister: The Assassination of Malcolm X (1994),115676
76,Carlito's Way (1993),114367
77,"Firm, The (1993)",113973
78,Free Willy (1993),112744
79,"Fugitive, The (1993)",116731
80,Hot Shots! Part Deux (1993),112445
81,"Hudsucker Proxy, The (1994)",114660
82,Jurassic Park (1993),112379
83,Much Ado About Nothing (1993),114039
84,Robert A. Heinlein's The Puppet Masters (1994),113612
85,"Ref, The (1994)",112365
86,"Remains of the Day, The (1993)",118158
87,Searching for Bobby Fischer (1993),116151
88,Sleepless in Seattle (1993),115697
89,Blade Runner (1982),113972
90,So I Married an Axe Murderer (1993),113490
91,"Nightmare Before Christmas, The (1993)",
92,True Romance (1993),117002
93,Welcome to the Dollhouse (1995),114825
94,Home Alone (1990),115639
95,Aladdin (1992),115759
96,Terminator 2: Judgment Day (1991),113403
97,Dances with Wolves (1990),113247
98,"Silence of the Lambs, The (1991)",111173
99,Snow White and the Seven Dwarfs (1937),113283
100,Fargo (1996),115907
101,Heavy Metal (1981),115734
102,"Aristocats, The (1970)",117102
103,All Dogs Go to Heaven 2 (1996),118040
104,Theodore Rex (1995),116483
105,Sgt. Bilko (1996),112579
106,Diabolique (1996),110251
107,Moll Flanders (1996),117110
108,Kids in the Hall: Brain Candy (1996),112646
109,Mystery Science Theater 3000: The Movie (1996),113276
110,Operation Dumbo Drop (1995),112573
111,"Truth About Cats & Dogs, The (1996)",75314
112,Flipper (1996),113326
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",115645
114,Wallace & Gromit: The Best of Aardman Animation (1996),113774
115,"Haunted World of Edward D. Wood Jr., The (1995)",112556
116,Cold Comfort Farm (1995),112373
117,"Rock, The (1996)",115033
118,Twister (1996),116606
119,Maya Lin: A Strong Clear Vision (1994),114536
120,Striptease (1996),117427
121,Independence Day (ID4) (1996),106473
122,"Cable Guy, The (1996)",103859
123,"Frighteners, The (1996)",109424
124,Lone Star (1996),114808
125,Phenomenon (1996),116324
126,"Spitfire Grill, The (1996)",110647
127,"Godfather, The (1972)",111055
128,Supercop (1992),110217
129,Bound (1996),114131
130,Kansas City (1996),112364
131,Breakfast at Tiffany's (1961),113107
132,"Wizard of Oz, The (1939)",113451
133,Gone with the Wind (1939),114015
134,Citizen Kane (1941),114500
135,2001: A Space Odyssey (1968),116130
136,Mr. Smith Goes to Washington (1939),113125
137,Big Night (1996),113756
138,D3: The Mighty Ducks (1996),113952
139,"Love Bug, The (1969)",114618
140,Homeward Bound: The Incredible Journey (1993),118055
141,"20,000 Leagues Under the Sea (1954)",115685
142,Bedknobs and Broomsticks (1971),94878
143,"Sound of Music, The (1965)",113200
144,Die Hard (1988),112585
145,"Lawnmower Man, The (1992)",112442
146,Unhook the Stars (1996),112342
147,"Long Kiss Goodnight, The (1996)",112461
148,"Ghost and the Darkness, The (1996)",112427
149,Jude (1996),109093
150,Swingers (1996),112384
151,Willy Wonka and the Chocolate Factory (1971),114287
152,Sleeper (1973),112288
153,"Fish Called Wanda, A (1988)",112462
154,Monty Python's Life of Brian (1979),61395
155,Dirty Dancing (1987),112495
156,Reservoir Dogs (1992),112541
157,Platoon (1986),109370
158,Weekend at Bernie's (1989),112642
159,Basic Instinct (1992),112688
160,Glengarry Glen Ross (1992),112715
161,Top Gun (1986),112740
162,On Golden Pond (1981),109508
163,"Return of the Pink Panther, The (1974)",112851
164,"Abyss, The (1989)",112857
165,Jean de Florette (1986),112864
166,Manon of the Spring (Manon des sources) (1986),112887
167,Private Benjamin (1980),113044
168,Monty Python and the Holy Grail (1974),113071
169,"Wrong Trousers, The (1993)",113114
170,Cinema Paradiso (1988),113243
171,Delicatessen (1991),113464
172,"Empire Strikes Back, The (1980)",113481
173,"Princess Bride, The (1987)",113492
174,Raiders of the Lost Ark (1981),113500
175,Brazil (1985),113540
176,Aliens (1986),113677
177,"Good, The Bad and The Ugly, The (1966)",113690
178,12 Angry Men (1957),107447
179,"Clockwork Orange, A (1971)",113729
180,Apocalypse Now (1979),113749
181,Return of the Jedi (1983),113820
182,GoodFellas (1990),113851
183,Alien (1979),110604
184,Army of Darkness (1993),110620
185,Psycho (1960),113957
186,"Blues Brothers, The (1980)",113986
187,"Godfather: Part II, The (1974)",114095
